tags,owner,is_answered,view_count,down_vote_count,up_vote_count,answer_count,score,last_activity_date,creation_date,question_id,link,title,last_edit_date,accepted_answer_id,protected_date,closed_date,closed_reason,bounty_amount,bounty_closes_date
"['python', 'python-3.x', 'tensorflow', 'tensorflow2.0', 'tensorflow-datasets']","{'account_id': 25552360, 'reputation': 37, 'user_id': 19336534, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c1ce789237414d5cd7681df10c6c9c92?s=256&d=identicon&r=PG', 'display_name': 'Los', 'link': 'https://stackoverflow.com/users/19336534/los'}",True,32,0,1,3,1,1658228769,1658225937,73035124,https://stackoverflow.com/questions/73035124/set-random-labels-for-images-in-tf-data-dataset,Set random labels for images in tf.data.Dataset,1658226812.0,73035774.0,,,,,
"['python', 'tensorflow', 'pip']","{'account_id': 13982215, 'reputation': 119, 'user_id': 10098103, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-ohTL_ifr8rE/AAAAAAAAAAI/AAAAAAAAAAA/AAnnY7qYyfIYERZXLMiBE38f1yD_dsCRKQ/mo/photo.jpg?sz=256', 'display_name': 'Terence Lyu', 'link': 'https://stackoverflow.com/users/10098103/terence-lyu'}",True,3245,0,0,2,0,1658227951,1605095528,64785911,https://stackoverflow.com/questions/64785911/cannot-install-tensorflow-with-error-environmenterror-errno-2-no-such-file-or,Cannot install tensorflow with error EnvironmentError: [Errno 2] No such file or directory,1605095981.0,64786260.0,,,,,
"['python', 'tensorflow', 'conv-neural-network', 'training-data']","{'account_id': 24538995, 'reputation': 35, 'user_id': 18449615, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cf619ae9b34a450df0801f084ca72252?s=256&d=identicon&r=PG&f=1', 'display_name': 'Asky', 'link': 'https://stackoverflow.com/users/18449615/asky'}",False,18,0,0,0,0,1658227322,1658227322,73035465,https://stackoverflow.com/questions/73035465/can-we-test-a-trained-model-without-using-predict-function,Can we test a trained model without using .predict function?,,,,,,,
"['tensorflow2.0', 'huggingface-transformers']","{'account_id': 360706, 'reputation': 4868, 'user_id': 702846, 'user_type': 'registered', 'accept_rate': 49, 'profile_image': 'https://www.gravatar.com/avatar/ad589b0712b73d8b534d9a7bf5e2f40d?s=256&d=identicon&r=PG', 'display_name': 'Areza', 'link': 'https://stackoverflow.com/users/702846/areza'}",False,23,0,1,0,1,1658226846,1658179874,73028859,https://stackoverflow.com/questions/73028859/tfbertforsequenceclassification-for-multi-label-classification,TFBertForSequenceClassification for multi label classification,1658226846.0,,,,,,
"['python', 'tensorflow', 'keras']","{'account_id': 25841399, 'reputation': 1, 'user_id': 19576882, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AFdZucrR_-6WKzaT18BDHb7nYhCKNLjgwoZpYhKCeRB_lBA=k-s256', 'display_name': 'sapna yadav', 'link': 'https://stackoverflow.com/users/19576882/sapna-yadav'}",False,20,0,0,1,0,1658226800,1658211763,73032032,https://stackoverflow.com/questions/73032032/accuracy-and-validation-accuracy-of-pretrained-model-is-not-changed,Accuracy and Validation Accuracy of pretrained model is not changed,1658226800.0,,,,,,
"['python', 'tensorflow', 'memory', 'memory-leaks']","{'account_id': 14320442, 'reputation': 63, 'user_id': 17779615, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5e194c20a315595f77c3c60ff3479245?s=256&d=identicon&r=PG&f=1', 'display_name': 'Susan', 'link': 'https://stackoverflow.com/users/17779615/susan'}",False,9,0,0,0,0,1658226767,1658226767,73035325,https://stackoverflow.com/questions/73035325/memory-leak-while-repeatedly-load-keras-model,Memory leak while repeatedly load keras model,,,,,,,
"['python', 'pandas', 'tensorflow', 'keras']","{'account_id': 21305841, 'reputation': 107, 'user_id': 15681095, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/38a72436036fca0fa09aa3bfed2e54f3?s=256&d=identicon&r=PG&f=1', 'display_name': 'vernal123', 'link': 'https://stackoverflow.com/users/15681095/vernal123'}",False,12,0,0,0,0,1658226640,1658226640,73035297,https://stackoverflow.com/questions/73035297/model-converges-to-0-5-during-transfer-learning,Model converges to 0.5 during transfer learning,,,,,,,
"['python', 'tensorflow', 'config', 'attributeerror']","{'account_id': 10892673, 'reputation': 9, 'user_id': 8007876, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/feb7d988af52c172c4111728c6d35f50?s=256&d=identicon&r=PG&f=1', 'display_name': 'Bijon Mollick', 'link': 'https://stackoverflow.com/users/8007876/bijon-mollick'}",False,131,1,1,0,0,1658225582,1652844595,72282896,https://stackoverflow.com/questions/72282896/ive-tried-tf-io-gfile-still-results-in-attributeerror-module-tensorflow-ha,"I&#39;ve tried tf.io.gfile, still results in &quot;AttributeError: module &#39;tensorflow&#39; has no attribute &#39;gfile&#39;&quot;",1653083791.0,,,,,,
"['python', 'macos', 'tensorflow', 'apple-m1', 'tf.keras']","{'account_id': 22084303, 'reputation': 1, 'user_id': 16343397, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b98779a52806d1f9b174ba0554bb1dbc?s=256&d=identicon&r=PG&f=1', 'display_name': 'ronaldhoward33', 'link': 'https://stackoverflow.com/users/16343397/ronaldhoward33'}",False,11,0,0,0,0,1658224243,1658224055,73034747,https://stackoverflow.com/questions/73034747/lstm-rnn-in-general-models-in-tensorflow-outputting-no-results-with-m1-mac,LSTM (RNN in general) models in Tensorflow outputting no results with M1 mac,1658224243.0,,,,,,
"['python-3.x', 'macos', 'tensorflow']","{'account_id': 12296540, 'reputation': 239, 'user_id': 14067415, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f985c93783160aa80ccdb69a47510082?s=256&d=identicon&r=PG&f=1', 'display_name': 'user505117', 'link': 'https://stackoverflow.com/users/14067415/user505117'}",True,16494,1,12,5,11,1658223544,1607635902,65242614,https://stackoverflow.com/questions/65242614/why-does-loading-tensorflow-on-mac-lead-to-process-finished-with-exit-code-132,Why does loading tensorflow on Mac lead to &quot;Process finished with exit code 132 (interrupted by signal 4: SIGILL)&quot;?,,,1638880168.0,,,,
"['python', 'tensorflow', 'nlp', 'stanford-nlp']","{'account_id': 25842832, 'reputation': 1, 'user_id': 19578135, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cb6254b869ee2431735a605e354daa12?s=256&d=identicon&r=PG', 'display_name': 'jsc', 'link': 'https://stackoverflow.com/users/19578135/jsc'}",False,12,0,0,0,0,1658223120,1658223120,73034519,https://stackoverflow.com/questions/73034519/importerror-dll-load-failedfrom-corpus-cython-import-construct-cooccurrence-m,ImportError: DLL load failed(from .corpus_cython import construct_cooccurrence_matrix),,,,,,,
"['python', 'loops', 'tensorflow', 'machine-learning', 'keras']","{'account_id': 25841793, 'reputation': 9, 'user_id': 19577236, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AFdZucpu89MPn-1CfhG_RS_9yOrQeYebHqmz8Ue1JpcLwBA=k-s256', 'display_name': 'Merwyn Dcosta', 'link': 'https://stackoverflow.com/users/19577236/merwyn-dcosta'}",False,16,1,0,0,-1,1658222889,1658222889,73034470,https://stackoverflow.com/questions/73034470/can-i-same-models-generated-by-using-a-for-loop-in-random-forest-regressor-and-s,Can i same models generated by using a for loop in random forest regressor and save just the best model with highest accuracy score,,,,,,,
"['python', 'tensorflow', 'machine-learning', 'deep-learning', 'recurrent-neural-network']","{'account_id': 12251104, 'reputation': 157, 'user_id': 8941460, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/451979311863730/picture?type=large', 'display_name': 'Donna Schweitzer', 'link': 'https://stackoverflow.com/users/8941460/donna-schweitzer'}",False,13,0,0,0,0,1658221971,1658221971,73034251,https://stackoverflow.com/questions/73034251/tensorflow-1-0-rnn-loss-stagnates,tensorflow 1.0 RNN loss stagnates,,,,,,,
"['windows', 'docker', 'tensorflow', 'jupyter-notebook', 'python-3.7']","{'account_id': 19887596, 'reputation': 19, 'user_id': 14570301, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-37lxqxxeLPg/AAAAAAAAAAI/AAAAAAAAAZw/AMZuuckVYJ1uYplHK7MSFMGobhxX40Y6XQ/s96-c/photo.jpg?sz=256', 'display_name': 'Veneta', 'link': 'https://stackoverflow.com/users/14570301/veneta'}",False,17,0,0,0,0,1658220464,1658219852,73033742,https://stackoverflow.com/questions/73033742/tensorflow-1-15-4-docker-installation-not-working-correctly,Tensorflow 1.15.4 Docker installation not working correctly,1658220464.0,,,,,,
"['python', 'tensorflow', 'keras', 'jupyter-lab', 'image-preprocessing']","{'account_id': 25389895, 'reputation': 41, 'user_id': 19201072, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GgXAjfquHioxasiFmRTCcWmbDdcMYtDhhEzGSob=k-s256', 'display_name': 'Muhammad Syahdewa', 'link': 'https://stackoverflow.com/users/19201072/muhammad-syahdewa'}",True,5917,0,4,5,4,1658220274,1653507787,72383347,https://stackoverflow.com/questions/72383347/how-to-fix-it-attributeerror-module-keras-preprocessing-image-has-no-attribu,HOW TO FIX IT? AttributeError: module &#39;keras.preprocessing.image&#39; has no attribute &#39;load_img&#39;,1653514299.0,,,,,,
['tensorflow'],"{'account_id': 19191638, 'reputation': 1, 'user_id': 14021254, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/4e0ffa1a3450580e52477cab2897b833?s=256&d=identicon&r=PG&f=1', 'display_name': 'yalunar', 'link': 'https://stackoverflow.com/users/14021254/yalunar'}",False,15,0,0,0,0,1658219770,1658196341,73030359,https://stackoverflow.com/questions/73030359/tf2-attributeerror-funcgraph-object-has-no-attribute-outer-graph,TF2 AttributeError: &#39;FuncGraph&#39; object has no attribute &#39;outer_graph&#39;,1658219770.0,,,,,,
"['python', 'tensorflow2.0']","{'account_id': 6885180, 'reputation': 1274, 'user_id': 5290519, 'user_type': 'registered', 'accept_rate': 100, 'profile_image': 'https://i.stack.imgur.com/f4Zqy.png?s=256&g=1', 'display_name': 'VimNing', 'link': 'https://stackoverflow.com/users/5290519/vimning'}",True,38,0,1,1,1,1658219126,1658151357,73023224,https://stackoverflow.com/questions/73023224/tensorflow-2-why-the-same-name-of-ws-and-bs-in-multi-layer-perceptron-neu,Tensorflow 2: Why the same `name` of `W`s and `b`s in Multi-Layer Perceptron Neural Network?,1658152994.0,73024334.0,,,,,
"['python', 'tensorflow', 'keras', 'word-embedding']","{'account_id': 1901123, 'reputation': 773, 'user_id': 1716980, 'user_type': 'registered', 'accept_rate': 71, 'profile_image': 'https://www.gravatar.com/avatar/71e90d483df166c6babcf7989837967b?s=256&d=identicon&r=PG', 'display_name': 'fsulser', 'link': 'https://stackoverflow.com/users/1716980/fsulser'}",True,22,0,1,1,1,1658218255,1658216288,73032904,https://stackoverflow.com/questions/73032904/prediction-with-keras-embedding-leads-to-indices-not-in-list,Prediction with keras embedding leads to indices not in list,,73033352.0,,,,,
"['python', 'tensorflow', 'tensorflow-datasets', 'huggingface-tokenizers']","{'account_id': 9262411, 'reputation': 345, 'user_id': 6878997, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/G8P62.png?s=256&g=1', 'display_name': 'raquelhortab', 'link': 'https://stackoverflow.com/users/6878997/raquelhortab'}",True,26,0,3,1,3,1658216858,1658157046,73024608,https://stackoverflow.com/questions/73024608/merge-multiple-batchencoding-or-create-tensorflow-dataset-from-list-of-batchenco,Merge multiple BatchEncoding or create tensorflow dataset from list of BatchEncoding objects,1658216858.0,73033036.0,,,,,
"['python', 'docker', 'flask', 'heroku', 'cmake']","{'account_id': 20336299, 'reputation': 41, 'user_id': 14916910, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/1d22b2b6776a09f204f5ed9507bd4db0?s=256&d=identicon&r=PG&f=1', 'display_name': 'Kelvyn Guzman', 'link': 'https://stackoverflow.com/users/14916910/kelvyn-guzman'}",True,3552,0,2,2,2,1658216557,1624629623,68132273,https://stackoverflow.com/questions/68132273/error-cmake-must-be-installed-to-build-dlib,ERROR: CMake must be installed to build dlib,,68132635.0,,,,,
"['python', 'opencv', 'deep-learning', 'pyinstaller', 'relative-path']","{'account_id': 25838659, 'reputation': 9, 'user_id': 19574643, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b63f0f37601656dfea9f39e41643d24e?s=256&d=identicon&r=PG', 'display_name': 'Chaitanya Sethi', 'link': 'https://stackoverflow.com/users/19574643/chaitanya-sethi'}",False,31,1,1,1,0,1658214528,1658174893,73028030,https://stackoverflow.com/questions/73028030/deep-learning-model-gives-inaccurate-results-in-executable-file-program-unlike-t,"Deep Learning Model gives inaccurate results in executable file program unlike the same script in python, messing up predictions",1658209312.0,,,,,,
"['python', 'tensorflow', 'keras', 'conv-neural-network', 'vgg-net']","{'account_id': 25840949, 'reputation': 1, 'user_id': 19576487, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AItbvmm5PK-1oh_F4H77piLOdokthzvEEy_WGwqtjYQi=k-s256', 'display_name': 'Pratik Pradhan', 'link': 'https://stackoverflow.com/users/19576487/pratik-pradhan'}",False,16,1,0,0,-1,1658212765,1658212142,73032095,https://stackoverflow.com/questions/73032095/can-anyone-help-me-that-why-vgg16-is-giving-very-less-validation-accuracy-as-wel,Can anyone help me that why VGG16 is giving very less validation accuracy as well as training accuracy?,1658212765.0,,,,,,
"['python', 'rest', 'tensorflow', 'nlp', 'tensorflow-serving']","{'account_id': 23014209, 'reputation': 553, 'user_id': 17136258, 'user_type': 'registered', 'profile_image': 'https://i.stack.imgur.com/R0zAj.jpg?s=256&g=1', 'display_name': 'Test', 'link': 'https://stackoverflow.com/users/17136258/test'}",True,21,0,0,1,0,1658211767,1657268905,72908695,https://stackoverflow.com/questions/72908695/how-do-i-use-tf-serving-with-transforming-methods,How do I use tf serving with transforming methods?,1657269263.0,,,,,,
"['python', 'tensorflow', 'batch-normalization', 'training']","{'account_id': 7401196, 'reputation': 341, 'user_id': 5631585, 'user_type': 'registered', 'profile_image': 'https://lh4.googleusercontent.com/-SttbRu_ZFsc/AAAAAAAAAAI/AAAAAAAACS4/8642YH8X-KI/photo.jpg?sz=256', 'display_name': 'Tejaswini ', 'link': 'https://stackoverflow.com/users/5631585/tejaswini'}",False,12,0,0,0,0,1658211435,1658211435,73031985,https://stackoverflow.com/questions/73031985/missed-setting-training-true-call-method-in-tensorflow-any-problem,"Missed setting `training=True` call method in tensorflow, any problem?",,,,,,,
"['python', 'tensorflow', 'google-colaboratory']","{'account_id': 23616526, 'reputation': 5, 'user_id': 17650539, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ecce3b63b821437ad026bb615016bd84?s=256&d=identicon&r=PG', 'display_name': 'MiltaruyOne', 'link': 'https://stackoverflow.com/users/17650539/miltaruyone'}",True,13,0,0,1,0,1658210711,1658207334,73031390,https://stackoverflow.com/questions/73031390/colab-error-cannot-import-name-pix2pixhd-model-from-pix2pixhd-unknown-loca,Colab error: cannot import name &#39;pix2pixHD_model&#39; from &#39;pix2pixHD&#39; (unknown location),,73031872.0,,,,,
"['python', 'tensorflow', 'model', 'checkpoint']","{'account_id': 25841057, 'reputation': 1, 'user_id': 19576575, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AItbvml59EFffKBUsZl_f2Rs-fwRHdNeM_GszxaS4lsZ=k-s256', 'display_name': 'jwojwocij', 'link': 'https://stackoverflow.com/users/19576575/jwojwocij'}",False,9,0,0,0,0,1658206549,1658206549,73031307,https://stackoverflow.com/questions/73031307/tensorflow-model-how-to-load-data-00000-of-00002-and-data-00001-of-00002,"tensorflow model: how to load .data-00000-of-00002 and ,data-00001-of-00002?",,,,,,,
"['python', 'tensorflow']","{'account_id': 24437353, 'reputation': 75, 'user_id': 18361460, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/5362d7b7fa7e228a9e6cd21b793727c6?s=256&d=identicon&r=PG', 'display_name': 'Kukkik', 'link': 'https://stackoverflow.com/users/18361460/kukkik'}",True,28,0,0,1,0,1658201195,1658199529,73030630,https://stackoverflow.com/questions/73030630/why-class-weights-doesnt-work-and-error-appear,Why class_weights doesn&#39;t work and error appear?,1658200693.0,73030767.0,,,,,
