,tags,owner,is_answered,view_count,down_vote_count,up_vote_count,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,link,title,closed_date,accepted_answer_id,closed_reason,bounty_amount,bounty_closes_date,content_license,cluster
12,"['python', 'node.js', 'tensorflow', 'tensorflow-lite']","{'account_id': 16021478, 'reputation': 43, 'user_id': 11562896, 'user_type': 'registered', 'profile_image': 'https://lh6.googleusercontent.com/-HftY3ZsNJEU/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rdWGFdyS1zfvgPCZZtvtRzZtKImTQ/mo/photo.jpg?sz=256', 'display_name': 'guiMarzo', 'link': 'https://stackoverflow.com/users/11562896/guimarzo'}",False,16,0,0,0,0,1657119709,1657119709,1642626692.1769912,72885828,https://stackoverflow.com/questions/72885828/how-to-save-simple-math-operations-using-a-tensorflow-model,How to save simple math operations using a Tensorflow model?,1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
13,"['python', 'tensorflow']","{'account_id': 3008038, 'reputation': 1025, 'user_id': 2552108, 'user_type': 'registered', 'accept_rate': 50, 'profile_image': 'https://www.gravatar.com/avatar/bd99b787305ea84370d8f88f91891746?s=256&d=identicon&r=PG', 'display_name': 'user2552108', 'link': 'https://stackoverflow.com/users/2552108/user2552108'}",True,6250,0,3,3,3,1657118407,1520345174,1520346329.0,49132736,https://stackoverflow.com/questions/49132736/tensorflow-gpu-check-failed-stream-parent-getconvolvealgorithms,Tensorflow GPU Check failed: stream‑&gt;parent()‑&gt;GetConvolveAlgorithms,1656951117.7,49132865.0,,50.0,1657661021.0,,0
14,"['python', 'tensorflow', 'keras', 'google-colaboratory']","{'account_id': 2810853, 'reputation': 163, 'user_id': 13103982, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7db400b91cc031a111b9c832e8bcc24f?s=256&d=identicon&r=PG', 'display_name': 'user26067', 'link': 'https://stackoverflow.com/users/13103982/user26067'}",True,5720,0,7,5,7,1657117939,1601842051,1601842340.0,64199384,https://stackoverflow.com/questions/64199384/tf-keras-model-predict-results-in-memory-leak,tf.keras model.predict results in memory leak,1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
15,"['python', 'tensorflow']","{'account_id': 25730330, 'reputation': 1, 'user_id': 19486020, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a0419cf0e4b167c68dd22dee1ec6cd16?s=256&d=identicon&r=PG', 'display_name': 'SJ1928', 'link': 'https://stackoverflow.com/users/19486020/sj1928'}",False,32,0,0,1,0,1657117684,1657024335,1657025223.0,72869499,https://stackoverflow.com/questions/72869499/tensorflow-unavailable-error-reported-from-jobworker-task2,Tensorflow UNAVAILABLE: Error reported from /job:worker/task:2,1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
16,"['python', 'tensorflow', 'bayesian', 'tensorflow-probability', 'bayesian-deep-learning']","{'account_id': 15807078, 'reputation': 49, 'user_id': 11405336, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/cbb02fad9f02ef717b5f6fd4a1def9c1?s=256&d=identicon&r=PG&f=1', 'display_name': 'maxlamenace', 'link': 'https://stackoverflow.com/users/11405336/maxlamenace'}",False,30,0,1,0,1,1657117147,1657100134,1657117147.0,72881142,https://stackoverflow.com/questions/72881142/measuring-incertainty-in-bayesian-neural-network,Measuring incertainty in Bayesian Neural Network,1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
17,"['python', 'tensorflow', 'machine-learning', 'keras', 'google-colaboratory']","{'account_id': 19193578, 'reputation': 1, 'user_id': 14022818, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/eb72225152fe5218f63badb2b95f9162?s=256&d=identicon&r=PG&f=1', 'display_name': 'itsmebabysmiley', 'link': 'https://stackoverflow.com/users/14022818/itsmebabysmiley'}",False,11,1,0,0,-1,1657116689,1657116689,1642626692.1769912,72885071,https://stackoverflow.com/questions/72885071/gradients-do-not-exist-for-variables-top-bn-gamma0-top-bn-beta0-when-mi,"Gradients do not exist for variables [&#39;top_bn/gamma:0&#39;, &#39;top_bn/beta:0&#39;] when minimizing the loss on Google Colab",1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
18,"['python', 'arrays', 'tensorflow']","{'account_id': 25697727, 'reputation': 1, 'user_id': 19458175, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gjmhtgy4fp1y6Q8YjTXF2JDRyV7Br70Sgi3pIx6=k-s256', 'display_name': 'Jonas D.', 'link': 'https://stackoverflow.com/users/19458175/jonas-d'}",False,22,0,0,0,0,1657111797,1657024845,1657111797.0,72869609,https://stackoverflow.com/questions/72869609/how-to-build-pairs-for-siamese-network-with-esc-50-dataset,How to build pairs for siamese network with ESC-50 dataset?,1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
19,"['python', 'tensorflow', 'regression']","{'account_id': 25479212, 'reputation': 35, 'user_id': 19275876, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/1470368830073112/picture?type=large', 'display_name': 'sing a song', 'link': 'https://stackoverflow.com/users/19275876/sing-a-song'}",False,12,0,0,0,0,1657108501,1657108501,1642626692.1769912,72883160,https://stackoverflow.com/questions/72883160/how-to-get-the-intersection-point-with-a-given-scope-of-variable,how to get the intersection point with a given scope of variable?,1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
20,"['python', 'tensorflow', 'keras', 'mobilenet']","{'account_id': 3909630, 'reputation': 459, 'user_id': 3235349, 'user_type': 'registered', 'accept_rate': 69, 'profile_image': 'https://www.gravatar.com/avatar/2da90ca265b961d6259fcdbb955237ef?s=256&d=identicon&r=PG&f=1', 'display_name': 'Bhoke', 'link': 'https://stackoverflow.com/users/3235349/bhoke'}",False,92,0,1,1,1,1657107518,1656343636,1657107518.0,72774644,https://stackoverflow.com/questions/72774644/keras-model-returns-high-validation-accuracy-while-training-but-accuracy-is-ver,"Keras model returns high validation accuracy while training, but accuracy is very low while evaluating",1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
21,"['python', 'tensorflow', 'tensorflow-serving']","{'account_id': 23621239, 'reputation': 1, 'user_id': 17758890, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fbeb4bf4b2e741367d44c8da057bc2e1?s=256&d=identicon&r=PG', 'display_name': 'cookiecutter', 'link': 'https://stackoverflow.com/users/17758890/cookiecutter'}",False,12,0,0,0,0,1657107399,1657107399,1642626692.1769912,72882935,https://stackoverflow.com/questions/72882935/is-there-a-way-to-use-make-tensor-proto-without-having-to-install-the-entire-ten,Is there a way to use make_tensor_proto without having to install the entire TensorFlow package?,1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
22,"['python', 'numpy', 'tensorflow', 'keras']","{'account_id': 22858256, 'reputation': 669, 'user_id': 17002772, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d513e4543a33ec07a8657a2834bb8693?s=256&d=identicon&r=PG', 'display_name': 'Ruthvik', 'link': 'https://stackoverflow.com/users/17002772/ruthvik'}",True,56,0,1,3,1,1657106993,1653827444,1653827916.0,72423651,https://stackoverflow.com/questions/72423651/valueerror-for-sequential-model-fit,ValueError for Sequential model.fit,1656951117.7,72601739.0,,50.0,1657661021.0,,0
23,"['python', 'tensorflow', 'keras', 'save']","{'account_id': 4590105, 'reputation': 395, 'user_id': 4470128, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d2c6b3f8a151398253ec74bc93b409ad?s=256&d=identicon&r=PG&f=1', 'display_name': 'Hirek', 'link': 'https://stackoverflow.com/users/4470128/hirek'}",False,13,0,0,0,0,1657101363,1657101363,1642626692.1769912,72881443,https://stackoverflow.com/questions/72881443/how-to-save-this-subclassed-keras-model-receiving-not-implemented-error-when,How to save this subclassed Keras model? Receiving &quot;not implemented error&quot; when trying to save,1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
24,"['tensorflow', 'machine-learning', 'keras', 'typeerror', 'tf.keras']","{'account_id': 15988454, 'reputation': 33, 'user_id': 11538213, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d5632d0a831f424480742af008073b0b?s=256&d=identicon&r=PG&f=1', 'display_name': 'MightyOwl', 'link': 'https://stackoverflow.com/users/11538213/mightyowl'}",False,207,0,1,1,1,1657099752,1649509420,1642626692.1769912,71808327,https://stackoverflow.com/questions/71808327/how-to-fix-error-where-a-kerastensor-is-passed-to-a-tf-api,How to fix error where a KerasTensor is passed to a TF API?,1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
25,"['python', 'tensorflow', 'keras', 'plot']","{'account_id': 17704025, 'reputation': 27, 'user_id': 18373969, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-UnkO6ZsctG0/AAAAAAAAAAI/AAAAAAAAAAA/ACHi3rfHs5ZB-cdV3qSQ3lxTM6MjQP7mKg/photo.jpg?sz=256', 'display_name': 'RACHID BEN ABDELMALEK', 'link': 'https://stackoverflow.com/users/18373969/rachid-ben-abdelmalek'}",False,33,0,0,1,0,1657099694,1657069027,1657099694.0,72876924,https://stackoverflow.com/questions/72876924/tensorflow-keras-utils-plot-model-not-working-correctly,tensorflow.keras.utils.plot_model not working correctly,1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
26,"['python', 'python-3.x', 'tensorflow', 'tensorflow-lite', 'tflite']","{'account_id': 25720459, 'reputation': 1, 'user_id': 19477530, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/7600712963332922/picture?type=large', 'display_name': 'Sardar Raheem', 'link': 'https://stackoverflow.com/users/19477530/sardar-raheem'}",False,25,0,0,0,0,1657096527,1657087966,1657096527.0,72878676,https://stackoverflow.com/questions/72878676/tflite-trained-models-with-python,tflite trained models with python,1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
27,"['python', 'tensorflow', 'machine-learning', 'conv-neural-network']","{'account_id': 25355463, 'reputation': 3, 'user_id': 19171654, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8f16ad511fda1c80f7bbc74d8ba04294?s=256&d=identicon&r=PG', 'display_name': 'TerrySoki', 'link': 'https://stackoverflow.com/users/19171654/terrysoki'}",False,50,0,0,1,0,1657096351,1657081549,1657089864.0,72877945,https://stackoverflow.com/questions/72877945/tensorflow-conv2d-layers-input-shape-configuration-error-valueerror-input-0-of,Tensorflow Conv2D layers input_shape configuration error: ValueError: Input 0 of layer &quot;sequential&quot; is incompatible with the layer:,1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
28,"['python', 'tensorflow', 'machine-learning', 'keras']","{'account_id': 25737408, 'reputation': 1, 'user_id': 19491907, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhNQfNkoUzYczfHe2EuljRSHwVswxRF3zN7utakEw=k-s256', 'display_name': 'Rosemarie Edang', 'link': 'https://stackoverflow.com/users/19491907/rosemarie-edang'}",False,21,4,0,0,-4,1657094716,1657094716,1642626692.1769912,72879885,https://stackoverflow.com/questions/72879885/how-to-solve-attributeerror-nonetype-object-has-no-attribute-predict,how to solve AttributeError: &#39;NoneType&#39; object has no attribute &#39;predict&#39;,1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
29,"['python', 'tensorflow', 'machine-learning', 'keras', 'deep-learning']","{'account_id': 24168484, 'reputation': 1, 'user_id': 18130906, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GguLmwGikoQbICjGI7OYXqqNTCHbYN_A-8vinze=k-s256', 'display_name': 'Hatsworth', 'link': 'https://stackoverflow.com/users/18130906/hatsworth'}",False,60,0,0,1,0,1657092766,1644111490,1644146873.0,71003562,https://stackoverflow.com/questions/71003562/keras-denoising-autoencoder-logits-and-labels-must-have-the-same-first-dimensi,"Keras denoising autoencoder - logits and labels must have the same first dimension, got logits shape [986624,38] and labels shape [32]",1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
30,"['python', 'tensorflow', 'tensorflow2.0']","{'account_id': 6374526, 'reputation': 983, 'user_id': 4945948, 'user_type': 'registered', 'accept_rate': 79, 'profile_image': 'https://www.gravatar.com/avatar/7eb29ca42fb0303ab8e12ef8e0046549?s=256&d=identicon&r=PG&f=1', 'display_name': 'Will.Evo', 'link': 'https://stackoverflow.com/users/4945948/will-evo'}",False,44,0,0,2,0,1657090777,1653579402,1642626692.1769912,72394398,https://stackoverflow.com/questions/72394398/create-boolean-tensor-where-values-in-one-tensor-are-in-another,Create boolean tensor where values in one tensor are in another,1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
31,"['python', 'tensorflow', 'machine-learning', 'conv-neural-network']","{'account_id': 25355463, 'reputation': 3, 'user_id': 19171654, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8f16ad511fda1c80f7bbc74d8ba04294?s=256&d=identicon&r=PG', 'display_name': 'TerrySoki', 'link': 'https://stackoverflow.com/users/19171654/terrysoki'}",False,21,0,0,0,0,1657089838,1657074665,1657089838.0,72877356,https://stackoverflow.com/questions/72877356/a-tensorflow-issue-while-building-a-cnn-model-typeerror-only-integer-scalar-ar,A Tensorflow issue while building a CNN model: TypeError: only integer scalar arrays can be converted to a scalar index,1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
32,"['python', 'tensorflow', 'machine-learning', 'keras']","{'account_id': 25737408, 'reputation': 1, 'user_id': 19491907, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14GhNQfNkoUzYczfHe2EuljRSHwVswxRF3zN7utakEw=k-s256', 'display_name': 'Rosemarie Edang', 'link': 'https://stackoverflow.com/users/19491907/rosemarie-edang'}",False,14,0,0,1,0,1657087750,1657087209,1642626692.1769912,72878566,https://stackoverflow.com/questions/72878566/attributeerror-module-keras-api-v2-keras-experimental-has-no-attribute-expo,AttributeError: module &#39;keras.api._v2.keras.experimental&#39; has no attribute &#39;export_saved_model&#39;,1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
33,"['python', 'tensorflow', 'deep-learning', 'neural-network', 'false-positive']","{'account_id': 25736151, 'reputation': 1, 'user_id': 19490859, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AFdZucob_i5wf6srC6cjKwU-asu_Yje2uEr6v3C5uCHX0Q=k-s256', 'display_name': 'suyeon_iron', 'link': 'https://stackoverflow.com/users/19490859/suyeon-iron'}",False,21,0,0,0,0,1657082284,1657082284,1642626692.1769912,72878021,https://stackoverflow.com/questions/72878021/is-there-a-way-to-limit-the-fpr-value-to-less-than-5-in-the-neural-network,Is there a way to limit the FPR value to less than 5% in the neural network?,1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
34,"['python', 'tensorflow', 'machine-learning', 'image-segmentation']","{'account_id': 19500502, 'reputation': 1, 'user_id': 14266715, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/809578163178358/picture?type=large', 'display_name': 'Alvi Rahman', 'link': 'https://stackoverflow.com/users/14266715/alvi-rahman'}",False,19,0,0,0,0,1657081152,1657081084,1657081152.0,72877910,https://stackoverflow.com/questions/72877910/how-to-deal-with-notimplementederror-in-training-unet-model,How to deal with NotImplementedError in training Unet model?,1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
35,"['python', 'tensorflow', 'machine-learning', 'keras', 'training-data']","{'account_id': 65071, 'reputation': 2392, 'user_id': 191741, 'user_type': 'registered', 'accept_rate': 93, 'profile_image': 'https://i.stack.imgur.com/eLHda.png?s=256&g=1', 'display_name': 'SnakeWasTheNameTheyGaveMe', 'link': 'https://stackoverflow.com/users/191741/snakewasthenametheygaveme'}",True,103,0,0,1,0,1657076241,1637374645,1637436267.0,70042770,https://stackoverflow.com/questions/70042770/aligning-batched-sliding-frame-timeseries-data-for-tensorflow-keras-using-timese,Aligning batched sliding frame timeseries data for tensorflow/keras using timeseries_dataset_from_array and TimeseriesGenerator respectively,1656951117.7,72877484.0,,50.0,1657661021.0,,0
36,"['python', 'tensorflow', 'gpu', 'nvidia']","{'account_id': 23328129, 'reputation': 5, 'user_id': 17404967, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJyrGL2WduZ2OdJNZVUornAIvo9PHvj90DDyNgt0=k-s256', 'display_name': 'Mahmoud Aboalwafa', 'link': 'https://stackoverflow.com/users/17404967/mahmoud-aboalwafa'}",False,25,3,0,0,-3,1657066937,1657066516,1657066937.0,72876726,https://stackoverflow.com/questions/72876726/test-gpu-available-cannot-find-gpu-this-error-show-with-me,test gpu available cannot find GPU this error show with me,1657087647.0,67432215.35714285,Not suitable for this site,50.0,1657661021.0,,0
37,"['python', 'tensorflow', 'machine-learning', 'model', 'predict']","{'account_id': 25734527, 'reputation': 1, 'user_id': 19489537, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d0a16224dc898c37676166e137af2b25?s=256&d=identicon&r=PG', 'display_name': 'Syed Tusin', 'link': 'https://stackoverflow.com/users/19489537/syed-tusin'}",False,29,0,0,1,0,1657061001,1657060335,1657060802.0,72876201,https://stackoverflow.com/questions/72876201/trying-to-predict-prediction-value-greater-than-0-5-it-will-be-positive-predict,"Trying to predict, prediction value greater than 0.5 it will be positive prediction (1) , under 0.5 value as 0 ,negative , but having problem in loop",1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
38,"['python', 'tensorflow', 'tensorflow-federated']","{'account_id': 24199469, 'reputation': 21, 'user_id': 18157505, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/07ec49ea128f60e3f8e31772c40db3bc?s=256&d=identicon&r=PG', 'display_name': 'Amandeep Singh Bhatia', 'link': 'https://stackoverflow.com/users/18157505/amandeep-singh-bhatia'}",False,20,0,0,0,0,1657060934,1657059198,1642626692.1769912,72876080,https://stackoverflow.com/questions/72876080/how-to-use-custom-accuracy-in-tensorflow-federated,how to use custom accuracy in tensorflow federated,1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
39,"['python', 'arrays', 'tensorflow', 'machine-learning', 'keras']","{'account_id': 25390266, 'reputation': 1, 'user_id': 19201375, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/a987ad45567f91610ff5d1ea44d0cba7?s=256&d=identicon&r=PG', 'display_name': 'Tpaw', 'link': 'https://stackoverflow.com/users/19201375/tpaw'}",False,27,0,0,1,0,1657060569,1657056435,1642626692.1769912,72875718,https://stackoverflow.com/questions/72875718/model-doesnt-learn-loss-and-accuracy-doesnt-change,Model doesn&#39;t learn - loss and accuracy doesn&#39;t change,1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
40,"['python', 'tensorflow', 'keras']","{'account_id': 11661229, 'reputation': 77, 'user_id': 9043769, 'user_type': 'registered', 'profile_image': 'https://graph.facebook.com/2101492076543039/picture?type=large', 'display_name': 'Anshuman Sinha', 'link': 'https://stackoverflow.com/users/9043769/anshuman-sinha'}",False,25,0,0,1,0,1657056969,1657050266,1642626692.1769912,72874743,https://stackoverflow.com/questions/72874743/training-a-keras-based-network-from-scratch-on-tensorflow,Training a keras based network from scratch on Tensorflow,1656951117.7,67432215.35714285,,50.0,1657661021.0,,0
41,"['python', 'numpy', 'tensorflow', 'keras']","{'account_id': 6474192, 'reputation': 1886, 'user_id': 5013336, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d627dbf935d8dcb71c8eff8a223e97cc?s=256&d=identicon&r=PG', 'display_name': 'Arka Mukherjee', 'link': 'https://stackoverflow.com/users/5013336/arka-mukherjee'}",True,26,0,0,1,0,1657055456,1657046319,1642626692.1769912,72874122,https://stackoverflow.com/questions/72874122/reshaping-output-of-multiheadattention-tensorflow,Reshaping output of MultiHeadAttention - Tensorflow,1656951117.7,72875579.0,,50.0,1657661021.0,,0
42,"['python', 'image', 'tensorflow', 'conv-neural-network', 'layer']","{'account_id': 25355463, 'reputation': 3, 'user_id': 19171654, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8f16ad511fda1c80f7bbc74d8ba04294?s=256&d=identicon&r=PG', 'display_name': 'TerrySoki', 'link': 'https://stackoverflow.com/users/19171654/terrysoki'}",True,27,0,0,1,0,1657053154,1657035100,1657052840.0,72872021,https://stackoverflow.com/questions/72872021/valueerror-exception-encountered-when-calling-layer-conv2d-1-type-conv2d,ValueError: Exception encountered when calling layer &quot;conv2d_1&quot; (type Conv2D),1656951117.7,72875227.0,,50.0,1657661021.0,,0
